사용기관명,전용면적,공간용도구분
식품공학과,22.23,교수연구실
식품공학과,22.23,연구용실험실
식품공학과,22.23,교수연구실
생물산업기계공학과,22.23,학생자치실
생물산업기계공학과,22.23,대학원생연구실
목재응용과학과,22.23,연구용실험실
생물환경화학과,21.84,교육용실험실습실
식품공학과,19.3,연구용실험실
목재응용과학과,18.72,학과(부) 행정실
목재응용과학과,18.72,학과(부) 행정실
스마트팜학과,17.84,학과(부) 행정실
산림환경과학과,17.83,학생자치실
생물환경화학과,17.16,교육용실험실습실
생물환경화학과,17.16,연구용실험실
생물산업기계공학과,16.5,연구용실험실
목재응용과학과,11.7,연구용실험실
동물자원과학과,9.75,교육용실험실습실
동물자원과학과,9.75,교육용실험실습실
동물자원과학과,9.75,교육용실험실습실
목재응용과학과,8.58,연구용실험실
식품공학과,6.18,교육용실험실습실
식품공학과,6.18,교육용실험실습실
식품공학과,6.18,교육용실험실습실
